ID,Bloc,IDc_Lvl,Rep_Geo,R,W,Trial_in_Bloc,Time_Abs,Time_Rel,X,Y,P_Raw,Thickness,Err_Radiale,InT,Angle
P01,VP_FB,1,9,350,5,5,22836.1599842,4.8752821999987646,1165.1150396836767,827.514486436593,3784.0,6,3.180915984052149,0,0.9511284904093766
P01,VP_FB,1,9,350,5,5,22836.1722044,4.8875024000008125,1160.8790579066504,831.2250653812624,3824.0,6,3.7858598245327926,0,0.9669674489001158
P01,VP_FB,1,9,350,5,5,22836.1833575,4.898655499997403,1157.6883183862926,833.9387723706477,3832.0,6,4.232512806438535,0,0.9787321741465296
P01,VP_FB,1,9,350,5,5,22836.1965136,4.911811599999055,1153.3423111085642,837.7047330906107,3832.0,6,4.977967442139402,0,0.994812637391592
P01,VP_FB,1,9,350,5,5,22836.2086213,4.9239192999993975,1148.9963038308358,841.4153120352802,3840.0,6,5.7678922992390085,0,1.010738899498571
P01,VP_FB,1,9,350,5,5,22836.2195425,4.934840499998245,1145.8055643104783,844.2397825752527,3848.0,6,6.4906072117080384,0,1.0225311531062864
P01,VP_FB,1,9,350,5,5,22836.2312099,4.946507900000142,1142.3947737887167,847.0088713399314,3888.0,6,7.102647129443255,0,1.0347244220283114
P01,VP_FB,1,9,350,5,5,22836.242788,4.95808599999873,1137.8837282599352,850.55330495872,3912.0,6,7.891011343451055,0,1.050619898331626
P01,VP_FB,1,9,350,5,5,22836.254607,4.969904999998107,1134.4179249878227,853.1008666222244,3920.0,6,8.40447156340798,0,1.062544165800418
P01,VP_FB,1,9,350,5,5,22836.2674813,4.982779300000402,1129.7968539583394,856.1468642633711,3928.0,6,8.859041125776855,0,1.0779248757582929
P01,VP_FB,1,9,350,5,5,22836.2801442,4.99544220000098,1124.955731927452,858.8051894774627,3920.0,6,8.952841378198741,0,1.0933111468483832
P01,VP_FB,1,9,350,5,5,22836.2927766,5.008074599998508,1119.9495716455117,861.5188964668479,3904.0,6,9.107597044176032,0,1.1091658740413635
P01,VP_FB,1,9,350,5,5,22836.3042437,5.019541699999536,1114.8883986132203,864.1218399056459,3904.0,6,9.228872905267622,0,1.1250081930448843
P01,VP_FB,1,9,350,5,5,22836.3221303,5.0374282999982825,1111.0375060886508,866.0048202656275,3888.0,6,9.293015631953665,0,1.1369386610224106
P01,VP_FB,1,9,350,5,5,22836.334922,5.050219999997353,1103.3907337898627,869.4938721091225,3904.0,6,9.342614080570854,0,1.1603307632332118
P01,VP_FB,1,9,350,5,5,22836.3469792,5.062277199998789,1099.6498667659953,871.266088918517,3928.0,6,9.498688391391795,0,1.1718395745006678
P01,VP_FB,1,9,350,5,5,22836.3593246,5.074622599997383,1094.533680983353,873.48135993026,3952.0,6,9.595785208706559,0,1.1873435284711276
P01,VP_FB,1,9,350,5,5,22836.3702681,5.085566099998687,1089.4725079510615,875.5858673914158,3976.0,6,9.695711272718142,0,1.2025819168152385
P01,VP_FB,1,9,350,5,5,22836.382673,5.097970999999234,1085.7316409271941,877.0257935490488,3992.0,6,9.714930253959494,0,1.213725482787469
P01,VP_FB,1,9,350,5,5,22836.3953028,5.110600799998792,1080.3403913927968,878.9641556843239,3984.0,6,9.692241561252104,0,1.229652863411371
P01,VP_FB,1,9,350,5,5,22836.4077442,5.123042200000782,1074.7841036073464,880.8471360443053,3952.0,6,9.655613873254083,0,1.245963837065071
P01,VP_FB,1,9,350,5,5,22836.4194443,5.134742300000653,1070.8231855820752,882.1209168760577,3920.0,6,9.62271928602263,0,1.25753262411091
P01,VP_FB,1,9,350,5,5,22836.4387407,5.154038699998637,1065.4869487980286,883.6162248089842,3880.0,6,9.443467486468933,0,1.2729385469575951
P01,VP_FB,1,9,350,5,5,22836.4533944,5.16869239999869,1057.180023495029,885.7207322701399,3856.0,6,9.11945322955728,0,1.2967734463163907
P01,VP_FB,1,9,350,5,5,22836.4657415,5.181039499999315,1052.0638377123867,887.0498948771858,3864.0,6,9.053449709926042,0,1.3114931824183178
P01,VP_FB,1,9,350,5,5,22836.4816143,5.1969122999980755,1047.002664680095,888.2129121583508,3864.0,6,8.917394194313772,0,1.3259543348490346
P01,VP_FB,1,9,350,5,5,22836.493286,5.2085839999999735,1040.7862238904331,889.4866929901032,3872.0,6,8.702331394199064,0,1.3436295415960744
P01,VP_FB,1,9,350,5,5,22836.5059006,5.221198600000207,1037.1003696169164,890.151274293626,3896.0,6,8.539233396451664,0,1.3540632737096832
